# Rooftop PV data for 2010 calendar year
# Derived from original 1MW trace files at:
# http://www.climatechange.gov.au/reducing-carbon/aemo-report-100-renewable-electricity-scenarios
#
# Copyright (C) 2012 Australian Energy Market Operator Limited

# Region (based off capital city)
# QLD,NSW,VIC,SA,Tas

0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0153886571,0.0145672206,0.0097239504,0.0006375122,0.0104610314
0.0879240105,0.0864974874,0.0757830327,0.0398181209,0.0563212324
0.2503475181,0.1936833543,0.216406928,0.1697056673,0.2107950052
0.3526922047,0.2834206009,0.3605867856,0.3528182246,0.3757962602
0.4809636455,0.3601793946,0.4422647219,0.5008183749,0.4945825124
0.5053347766,0.381120338,0.5254384986,0.6068055006,0.571268753
0.5622665485,0.4050911311,0.5911326691,0.6674449479,0.5934283773
0.5892788121,0.5071841351,0.505097954,0.6688809643,0.6009459024
0.4756840577,0.520388703,0.5358925318,0.6373711528,0.4941448867
0.3570818961,0.4846093233,0.4700102675,0.5553551825,0.4157343402
0.2636288555,0.3864466543,0.4203116897,0.4947523665,0.3387384169
0.1856681506,0.2402167285,0.3037037027,0.3846671767,0.2739466599
0.0529322178,0.0822289736,0.1397365654,0.2182612516,0.1548986744
0.000515942,0.0040930185,0.0169872199,0.0546507258,0.037393793
0,0,0,0.002529162,0.0014925211
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0228653751,0.0171574349,0.0113308487,0.0004512032,0.0100175817
0.1104431719,0.0999855018,0.0696323148,0.040144432,0.0689166188
0.2837684277,0.2657142186,0.2413096803,0.1654333895,0.228835662
0.4285577445,0.4039594857,0.4020996353,0.3436459493,0.3951764586
0.5551375612,0.5083781571,0.5304489886,0.4909172568,0.5348927262
0.6119188753,0.5716185126,0.6118024185,0.5857467929,0.5878685898
0.6320298908,0.6090291617,0.6563066248,0.6457739985,0.6693731569
0.631840703,0.5815559552,0.6733954624,0.6807784033,0.7076671583
0.6092220574,0.5210522184,0.6548793148,0.6727057553,0.6913830856
0.5322101468,0.3705063849,0.5832205762,0.620427879,0.6231452896
0.4134245087,0.3387866798,0.4436074626,0.5299946168,0.5212283262
0.2547566637,0.2380664189,0.3174682526,0.3989356765,0.380049486
0.0789647565,0.0794492416,0.1576142307,0.2301485438,0.2027537795
0.0154997246,0.002888784,0.0136460184,0.059185356,0.0375813101
0,0,0,0.0024594885,0.0014722116
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0249099593,0.0160824406,0.0101441077,0.0001275251,0.011185792
0.107074202,0.0976965265,0.0705722981,0.0401487658,0.068039426
0.2917180615,0.2629682739,0.2394255015,0.1612601711,0.2124325345
0.4429388697,0.4012404486,0.4083055986,0.3380463452,0.3764322326
0.5520106088,0.5184348489,0.5351375642,0.4758138038,0.5191840459
0.6157365414,0.5999539834,0.6150831254,0.5710306344,0.617234653
0.6557354737,0.6380969456,0.6663415376,0.6368449001,0.6781163146
0.6681718915,0.6376627558,0.6751694743,0.6604368439,0.6924122428
0.6294812104,0.6033525888,0.6418747548,0.6440954931,0.6742172124
0.5481215511,0.5244890447,0.5750682222,0.5926345124,0.6093662789
0.4275593329,0.4029125379,0.4700314908,0.490970742,0.4987997177
0.2598636622,0.2474819163,0.3262040055,0.3717524879,0.3603373845
0.0785390841,0.0823147414,0.1554385955,0.2204522514,0.1925150694
0.0151091643,0.0034057909,0.0141626317,0.0604011374,0.0398197269
0,0,0,0.0010986901,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0223793946,0.0118539991,0.0048289251,0,0.010738015
0.1054461165,0.0997057245,0.0676624326,0.0386773391,0.0642857859
0.2888292002,0.23930493,0.2160508295,0.1562045334,0.2210358204
0.4320077439,0.2998620231,0.332445287,0.3274401172,0.3801788323
0.541649902,0.3611341535,0.4285617359,0.4663187257,0.5049699825
0.6154045705,0.418774378,0.5154100663,0.5663975467,0.5804937433
0.6603580802,0.4842240563,0.5813882407,0.6242268733,0.6208062961
0.6638759016,0.526384803,0.609621761,0.6445116799,0.6249813995
0.6351639823,0.5703877986,0.5954555877,0.5939896991,0.5747000564
0.5519927609,0.5254476257,0.5294331845,0.4812911315,0.4776837522
0.421910829,0.4081893199,0.4172600652,0.4139797972,0.4015995686
0.2509743364,0.2522821597,0.2882574867,0.3228164883,0.3025815538
0.0787259338,0.0869711212,0.1332135481,0.1777440916,0.1727610998
0.0142707718,0.0040735564,0.0203199094,0.0536341465,0.0375928647
0,0,0,0.002478499,0.0010222501
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0158597988,0.0087933861,0.0016698425,0,0
0.1048953302,0.0801277396,0.0586509222,0.0282132682,0.0609716894
0.2487247869,0.206175484,0.1339837446,0.0915316858,0.1085721015
0.3664327687,0.3735379164,0.2483827223,0.1536570231,0.1561687478
0.4434129099,0.5052501559,0.3810211341,0.2013418827,0.1868383322
0.4921216181,0.5809291319,0.4305980423,0.2648542227,0.2058042948
0.4854954062,0.611967587,0.5482344701,0.3059500886,0.160493079
0.4627921615,0.606197755,0.5235327725,0.3110337587,0.1498873808
0.4580064251,0.5653365201,0.4451603305,0.3892261419,0.2144943573
0.3775852084,0.4970433572,0.3293439255,0.4173689679,0.277969027
0.2797406917,0.3880204394,0.2161282704,0.3407637697,0.3309970501
0.1885973482,0.2391451665,0.172621561,0.2438758288,0.220938986
0.0703973711,0.0800094076,0.0830488668,0.1315076309,0.1055218201
0.0081013487,0.0030651399,0.016178136,0.056582572,0.0420009786
0,0,0,0.0030558188,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0167839703,0.0157502961,0.0053537248,0,0.0088714515
0.0868395006,0.0970431015,0.0590834246,0.0207810836,0.0442502717
0.2147313165,0.2553227114,0.1471960018,0.1204294952,0.1644183779
0.3391479676,0.4022314409,0.259637248,0.2717025591,0.3157837687
0.3977983139,0.5205446444,0.4036933297,0.3905032506,0.3733195
0.4275275636,0.5923067392,0.4084677708,0.4517508122,0.4158066151
0.5653792226,0.6233895306,0.4648121697,0.5646540336,0.4634694549
0.6476325264,0.6060249964,0.5433581246,0.6609372999,0.6045105284
0.5967677916,0.5199993081,0.5344334678,0.6778994913,0.6123297837
0.5332528212,0.4542524238,0.525617844,0.6504861961,0.5657417113
0.4142435489,0.3240670342,0.4233072585,0.5632004755,0.502840095
0.2501349496,0.1528468865,0.3156362411,0.4280152667,0.3723403973
0.0812174116,0.0611203168,0.1521533524,0.2538252727,0.2040951922
0.0163325416,0.0037439085,0.0214143969,0.0684542486,0.0424833727
0,0,0,0.0034267427,0.0021026429
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0156536449,0.0045564321,0,0,0.0082284855
0.0843415083,0.0840501247,0.0509545134,0.0418704205,0.0585871557
0.206362614,0.1254892601,0.1874978251,0.1673160328,0.204404875
0.3765452112,0.1983952309,0.3000267188,0.353565641,0.3600001016
0.480997378,0.2729424086,0.4016291576,0.5084117201,0.4163186207
0.5374856296,0.3115152798,0.4692716629,0.6125942805,0.4972199615
0.6193607363,0.316485377,0.5060531663,0.6861561557,0.5576172175
0.6272270205,0.3117866484,0.5379230059,0.725943269,0.5803211256
0.5936997374,0.3085361874,0.5354526741,0.7204279341,0.6425682915
0.5303070251,0.3558822916,0.5039583742,0.6737668597,0.6155388827
0.4185182998,0.3015023127,0.4083976204,0.5764290242,0.5182905504
0.2599163135,0.20064889,0.2827458991,0.4301572529,0.3813328917
0.0774938039,0.0643804707,0.148563692,0.2498764856,0.2052731094
0.0069404212,0.0009349039,0.0166591703,0.0673123662,0.0448476507
0,0,0,0.0032934753,0.0020348121
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0162788926,0.0115099435,0.0012608218,0,0.0084558591
0.0948200113,0.0784528984,0.057376566,0.0303739139,0.0612713379
0.2579559,0.1418293204,0.162344281,0.1485011223,0.2169503005
0.37975355,0.2233270512,0.306848159,0.3388104435,0.3809956089
0.486053867,0.2552182918,0.4211842767,0.5022112249,0.5183209573
0.5516190259,0.3286622605,0.4871964732,0.6129158794,0.6134267716
0.5998215676,0.3401253298,0.5388787041,0.6852842272,0.6689427821
0.6281229851,0.3256015282,0.581821618,0.7194287419,0.6898346719
0.5930934441,0.3459399567,0.5776044921,0.7148696047,0.6865390301
0.542984925,0.4034306609,0.5149036223,0.6586964264,0.6278232765
0.4288718675,0.3293112519,0.4503828919,0.5537055694,0.5222785343
0.2614644405,0.2134571832,0.3132433502,0.4159725064,0.3793040488
0.0844007633,0.0822068055,0.1463530626,0.2396603037,0.201655622
0.0146701398,0.0043519883,0.0161683927,0.0640753788,0.0442929116
0,0,0,0.0031255078,0.0019880907
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0143028443,0.0117020266,0.0027324319,0,0.0084132894
0.0928504954,0.0914535194,0.0673750265,0.0345056685,0.0544069299
0.2393350058,0.2049909408,0.2260591726,0.1589040723,0.1869695497
0.3731546453,0.3375258477,0.3830448037,0.343820335,0.3171918427
0.4627505758,0.412581058,0.4855664884,0.5096128146,0.4488909763
0.4340013545,0.4481474707,0.5563074392,0.6306502521,0.5399239012
0.4185081265,0.4957438455,0.6170823314,0.6985299737,0.594965096
0.4750754443,0.4780348642,0.6043337476,0.7214718407,0.6408748602
0.5014598187,0.303208648,0.4770666225,0.69887221,0.586338888
0.4975188236,0.2583256537,0.4117170477,0.6068588138,0.5536818609
0.4041021928,0.2278635702,0.3496084873,0.5296847124,0.4770688309
0.2498393883,0.1714380069,0.2392988095,0.4025355203,0.3137617088
0.0729518699,0.0808869603,0.142077451,0.2445510144,0.1705540256
0.0034589287,0.0052541552,0.0185631629,0.0699795388,0.0410629019
0,0,0,0.0025741101,0.0006806611
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0147225734,0.0142142732,0.0052258501,0,0.0097830274
0.1048824797,0.0909999133,0.0723565166,0.0321124225,0.0661073706
0.2745847899,0.2554768182,0.2396921703,0.1463003197,0.1794782213
0.4285654191,0.4077988549,0.3997705764,0.3302605566,0.3174783694
0.5248564544,0.5238775098,0.5134633515,0.4062574685,0.3864351721
0.6030145572,0.5954225096,0.4789070585,0.4421148841,0.5102186839
0.5844891493,0.6280815323,0.5305738985,0.5232343331,0.5689671834
0.538243273,0.5668989918,0.3794917577,0.5980432209,0.4508213476
0.4562703597,0.4876218973,0.4239601597,0.5944146568,0.3738036717
0.4316927284,0.4622051298,0.435477952,0.5743965881,0.3949853628
0.2928483691,0.3705095955,0.3485806945,0.4786543646,0.3383796153
0.1716584402,0.2192513238,0.2628933293,0.3937505394,0.2536341387
0.0513149302,0.0775938447,0.1195888129,0.2369977401,0.1502597486
0.0017172571,0.0033299453,0.0220796757,0.0677941626,0.0397339092
0,0,0,0.0033651591,0.0018750003
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0165754533,0.0128321278,0.0048484959,0,0.0084574028
0.0961734177,0.0927485974,0.0679618275,0.0385834048,0.0573312098
0.274218194,0.270526387,0.1843102741,0.1270394701,0.1815351322
0.3954454251,0.4240688945,0.2814950183,0.1902149052,0.2734245966
0.5130365031,0.4609496486,0.3242802962,0.3588269644,0.385554775
0.5718228505,0.583925653,0.4628197681,0.5105592096,0.5281213401
0.577644836,0.6597483396,0.6420918485,0.6549507453,0.6271402904
0.5870173045,0.6453436345,0.6734262443,0.653544825,0.6408748602
0.4597803281,0.6045190916,0.5922843998,0.6827716284,0.564778046
0.4183328601,0.5380177261,0.5290359355,0.6287351049,0.5153230694
0.3373517548,0.4219587932,0.4307775496,0.5490922592,0.4283751966
0.1971388184,0.2630144448,0.2509479921,0.3662180634,0.3126761819
0.0671546216,0.0899179552,0.097372109,0.2149044127,0.1771418008
0.0048169928,0.0040552716,0.0181571491,0.0665961638,0.0462293175
0,0,0,0.0036124498,0.0019641651
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0145377048,0.0113854701,0.0044108739,0,0.0072146488
0.099457967,0.0921289597,0.0571569126,0.0256062191,0.0585475332
0.2634348489,0.2781306709,0.163597106,0.1212616968,0.198072284
0.4154946868,0.4392638557,0.2985049569,0.2697923994,0.2939314881
0.5624173633,0.5537051258,0.4512703838,0.4545509582,0.4794943671
0.6469864323,0.6244092651,0.4676479965,0.572034814,0.5964971367
0.656370859,0.6594272838,0.6173674694,0.6573653166,0.6086482079
0.6045633981,0.6553330575,0.6761139938,0.7061417206,0.5582920171
0.5520978851,0.6121785666,0.6475256711,0.7025508197,0.5380201944
0.4378436507,0.5381583791,0.5782744043,0.6454283227,0.461438273
0.3309518542,0.4234225021,0.4858619951,0.559997213,0.4135836357
0.2422531377,0.2668348564,0.3463410653,0.4287260519,0.3618217097
0.0845901295,0.0920526707,0.1704572665,0.2534013469,0.2078553582
0.0149265595,0.0038819931,0.019321792,0.0693405717,0.0426603175
0,0,0,0.0030937744,0.0020610439
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0104203367,0.0106198299,0.0041075584,0,0.0035558782
0.0848069815,0.0887639888,0.0652650054,0.0417044273,0.0464028474
0.2498813309,0.2621893313,0.2342201132,0.1531935424,0.1661242058
0.3741801858,0.4146433067,0.3915893845,0.3374650595,0.2834329158
0.5501251565,0.5397132067,0.5138153997,0.4802243519,0.4696935166
0.6178950667,0.6179682735,0.4542674108,0.5250112099,0.5277917759
0.6254174217,0.6477897742,0.4704997004,0.6048363524,0.5743983262
0.5796056064,0.6407555937,0.5891922728,0.6776432441,0.541792757
0.5241748431,0.6089924696,0.638754438,0.6413094493,0.5001427677
0.4379291422,0.5369291939,0.5864818419,0.5928064904,0.4516416326
0.3551653884,0.4175548244,0.4776002841,0.4985840366,0.4414094717
0.2237580712,0.2595828166,0.3332490197,0.3956968146,0.3667448232
0.0756825988,0.0885449064,0.163724608,0.2424308695,0.2050123116
0.014050375,0.0034430334,0.0179282076,0.0691919139,0.0439375015
0,0,0,0.0020864768,0.0009347904
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0141952571,0.0097898287,0.0036555985,0,0.0087584547
0.0920785736,0.0853825064,0.0612913809,0.0243404953,0.0528416521
0.2773936927,0.2465534534,0.2105290354,0.0934219649,0.2043711935
0.4366614057,0.4061085724,0.3812330435,0.2289348949,0.3283836927
0.5550561748,0.5220857124,0.516404323,0.3207622109,0.3900788562
0.6294990583,0.5875994491,0.5710597654,0.3967408931,0.5133134062
0.6567313866,0.6304282976,0.6374972387,0.5718194975,0.6433822612
0.5981850935,0.6265664545,0.6549651802,0.5261627747,0.6453657277
0.5080896002,0.57759168,0.5517204439,0.6015395339,0.6142898602
0.4579045136,0.495804999,0.484783007,0.5683601598,0.581298357
0.2979719662,0.3503547803,0.3787640078,0.4612773622,0.4589982349
0.1883098185,0.2140294271,0.2311882541,0.3629198691,0.3534736081
0.069890455,0.0790751351,0.1148357572,0.2198236718,0.2011384706
0.013141517,0.0031570949,0.0167532966,0.0623490635,0.0409748622
0,0,0,0.0025838355,0.0016362125
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0113146951,0.0080041513,0.0032872683,0,0.0089947866
0.0877145832,0.0883009039,0.0498510781,0.023351037,0.0439005922
0.2536458103,0.2424703876,0.1562583672,0.0812188523,0.1494684671
0.3982491519,0.383025575,0.2866649263,0.1962267406,0.337824806
0.4126288493,0.4558326301,0.3554257881,0.1782825548,0.4027215838
0.4474438585,0.5174151144,0.3856050511,0.1867631345,0.3647655669
0.5352978338,0.5884708863,0.3834213154,0.3134957959,0.4569382834
0.5927734313,0.5811477556,0.3510981712,0.3161889716,0.4537645031
0.4573821055,0.4857738387,0.3440704921,0.4655501559,0.2251000555
0.2669781928,0.4325450743,0.2831574051,0.477751996,0.2812279466
0.2068441504,0.2667686577,0.2015100886,0.4603851403,0.3089347279
0.1733416758,0.179057885,0.1503918153,0.3316363807,0.2360638536
0.0774870217,0.0749735704,0.0863634338,0.214511099,0.164457673
0.0041542392,0.0032662249,0.0111943616,0.067073162,0.0527875044
0,0,0,0.0031068155,0.0002565548
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0.0100655383,0.0089714712,0.0039947669,0,0.0071214165
0.0882828604,0.0789944125,0.0555206742,0.0222271951,0.0490712648
0.2544593176,0.2015304176,0.1489515445,0.1187974239,0.1963966291
0.3695627552,0.339912057,0.3321342274,0.271156013,0.3532053255
0.4948418168,0.4369979659,0.4416030722,0.386331408,0.4579536405
0.591117146,0.4407197674,0.3807220632,0.4138994834,0.5192871955
0.6522979678,0.4617871457,0.4488215994,0.5063454043,0.6426150714
0.6715879799,0.5685012133,0.6391011399,0.6659986128,0.662875433
0.6333827617,0.4984162531,0.6795000073,0.7136537202,0.659266366
0.5378158158,0.4230231698,0.5905214046,0.6703599752,0.6048871064
0.4283173332,0.2850087571,0.4011358365,0.5799889691,0.5138371068
0.2685564827,0.2236270091,0.301614905,0.4405065457,0.3852684822
0.0852374729,0.0935698889,0.1662829113,0.2582803632,0.2085060662
0.0131131992,0.0040818122,0.0169905622,0.0710934748,0.0399752699
