# Rooftop PV data for 2010 calendar year
# Derived from original 1MW trace files at:
# http://www.climatechange.gov.au/reducing-carbon/aemo-report-100-renewable-electricity-scenarios
#
# Copyright (C) 2012 Australian Energy Market Operator Limited

# Region (based off capital city)
# QLD,NSW,VIC,SA,Tas

0.0241333435,0.0147967755,0.0092043512,0.001194702,0.0117348473
0.1019397177,0.0803645565,0.0698826206,0.0420592352,0.0756577851
0.2406370103,0.1675639332,0.2203829827,0.1721517106,0.2449230253
0.3514098329,0.2156056583,0.367555493,0.3551191184,0.404928658
0.3835087485,0.2900727249,0.4770902759,0.511854548,0.5290078186
0.4442819242,0.3430386822,0.5385370246,0.6264161534,0.6289927733
0.4421087638,0.3016937231,0.5682297709,0.6884984963,0.6914368825
0.4273640768,0.2810423416,0.5714244504,0.7130500774,0.7040955153
0.4464081448,0.3028464665,0.5495872554,0.7066249788,0.671134419
0.3718997594,0.3270569813,0.501054179,0.6478050589,0.6178100454
0.3040618487,0.2439856183,0.411183224,0.5460663061,0.5237497612
0.2118586968,0.14144069,0.2805973197,0.4086923332,0.3774686406
0.0853450958,0.0646106524,0.1415794316,0.2371289593,0.1995259684
0.0152976545,0.0037333596,0.0146378336,0.060942077,0.0371095117
0,0,0,0.0028977298,0.0016869149
